CountryName,Date,StringencyIndexForDisplay
Albania,20200327,85.71
Albania,20200328,85.71
Albania,20200329,85.71
Albania,20200330,85.71
Albania,20200331,85.71
Albania,20200401,85.71
Albania,20200402,85.71
Albania,20200403,85.71
Albania,20200404,85.71
Albania,20200405,85.71
Albania,20200406,85.71
Albania,20200407,85.71
Albania,20200408,85.71
Albania,20200409,85.71
Albania,20200410,85.71
Albania,20200411,85.71
Albania,20200412,85.71
Albania,20200413,85.71
Albania,20200414,85.71
Albania,20200415,85.71
Albania,20200416,85.71
Albania,20200417,85.71
Albania,20200418,85.71
Albania,20200419,85.71
Albania,20200420,85.71
Albania,20200421,85.71
Albania,20200422,85.71
Albania,20200423,85.71
Albania,20200424,85.71
Andorra,20200101,0.0
Andorra,20200102,0.0
Andorra,20200103,0.0
Andorra,20200104,0.0
Andorra,20200105,0.0
Andorra,20200106,0.0
Andorra,20200107,0.0
Andorra,20200108,0.0
Andorra,20200109,0.0
Andorra,20200110,0.0
Andorra,20200111,0.0
Andorra,20200112,0.0
Andorra,20200113,0.0
Andorra,20200114,0.0
Andorra,20200115,0.0
Andorra,20200116,0.0
Andorra,20200117,0.0
Andorra,20200118,0.0
Andorra,20200119,0.0
Andorra,20200120,0.0
Andorra,20200121,0.0
Andorra,20200122,0.0
Andorra,20200123,0.0
Andorra,20200124,0.0
Andorra,20200125,0.0
Andorra,20200126,0.0
Andorra,20200127,0.0
Andorra,20200128,0.0
Andorra,20200129,0.0
Andorra,20200130,0.0
Andorra,20200131,0.0
Andorra,20200201,0.0
Andorra,20200202,0.0
Andorra,20200203,0.0
Andorra,20200204,0.0
Andorra,20200205,0.0
Andorra,20200206,0.0
Andorra,20200207,0.0
Andorra,20200208,0.0
Andorra,20200209,0.0
Andorra,20200210,0.0
Andorra,20200211,0.0
Andorra,20200212,0.0
Andorra,20200213,0.0
Andorra,20200214,0.0
Andorra,20200215,0.0
Andorra,20200216,0.0
Andorra,20200217,0.0
Andorra,20200218,0.0
Andorra,20200219,0.0
Andorra,20200220,0.0
Andorra,20200221,0.0
Andorra,20200222,0.0
Andorra,20200223,0.0
Andorra,20200224,0.0
Andorra,20200225,0.0
Andorra,20200226,0.0
Andorra,20200227,0.0
Andorra,20200228,0.0
Andorra,20200229,0.0
Andorra,20200301,0.0
Andorra,20200302,0.0
Andorra,20200303,0.0
Andorra,20200304,0.0
Andorra,20200305,0.0
Andorra,20200306,0.0
Andorra,20200307,0.0
Andorra,20200308,0.0
Andorra,20200309,0.0
Andorra,20200310,0.0
Andorra,20200311,0.0
Andorra,20200312,0.0
Andorra,20200313,0.0
Andorra,20200314,0.0
Andorra,20200315,0.0
Andorra,20200316,14.29
Andorra,20200317,14.29
Andorra,20200318,14.29
Andorra,20200319,14.29
Andorra,20200320,14.29
Andorra,20200321,14.29
Andorra,20200322,14.29
Andorra,20200323,14.29
Andorra,20200324,14.29
Andorra,20200325,57.14
Andorra,20200326,57.14
Andorra,20200327,57.14
Andorra,20200328,57.14
Andorra,20200329,57.14
Andorra,20200330,57.14
Andorra,20200331,57.14
Andorra,20200401,57.14
Andorra,20200402,57.14
Andorra,20200403,57.14
Andorra,20200404,57.14
Andorra,20200405,57.14
Andorra,20200406,57.14
Andorra,20200407,57.14
Andorra,20200408,71.43
Andorra,20200409,71.43
Andorra,20200410,71.43
Andorra,20200411,71.43
Andorra,20200412,71.43
Andorra,20200413,71.43
Andorra,20200414,71.43
Andorra,20200415,71.43
Andorra,20200416,71.43
Andorra,20200417,71.43
Andorra,20200418,71.43
Andorra,20200419,71.43
Andorra,20200420,71.43
Andorra,20200421,71.43
Andorra,20200422,71.43
Andorra,20200423,71.43
Andorra,20200424,71.43
United Arab Emirates,20200101,0.0
United Arab Emirates,20200102,0.0
United Arab Emirates,20200103,0.0
United Arab Emirates,20200104,0.0
United Arab Emirates,20200105,0.0
United Arab Emirates,20200106,0.0
United Arab Emirates,20200107,0.0
United Arab Emirates,20200108,0.0
United Arab Emirates,20200109,0.0
United Arab Emirates,20200110,0.0
United Arab Emirates,20200111,0.0
United Arab Emirates,20200112,0.0
United Arab Emirates,20200113,0.0
United Arab Emirates,20200114,0.0
United Arab Emirates,20200115,0.0
United Arab Emirates,20200116,0.0
United Arab Emirates,20200117,0.0
United Arab Emirates,20200118,0.0
United Arab Emirates,20200119,0.0
United Arab Emirates,20200120,0.0
United Arab Emirates,20200121,0.0
United Arab Emirates,20200122,0.0
United Arab Emirates,20200123,4.76
United Arab Emirates,20200124,4.76
United Arab Emirates,20200125,4.76
United Arab Emirates,20200126,4.76
United Arab Emirates,20200127,4.76
United Arab Emirates,20200128,4.76
United Arab Emirates,20200129,4.76
United Arab Emirates,20200130,4.76
United Arab Emirates,20200131,4.76
United Arab Emirates,20200201,4.76
United Arab Emirates,20200202,4.76
United Arab Emirates,20200203,4.76
United Arab Emirates,20200204,4.76
United Arab Emirates,20200205,4.76
United Arab Emirates,20200206,4.76
United Arab Emirates,20200207,4.76
United Arab Emirates,20200208,4.76
United Arab Emirates,20200209,4.76
United Arab Emirates,20200210,4.76
United Arab Emirates,20200211,4.76
United Arab Emirates,20200212,4.76
United Arab Emirates,20200213,4.76
United Arab Emirates,20200214,4.76
United Arab Emirates,20200215,4.76
United Arab Emirates,20200216,4.76
United Arab Emirates,20200217,4.76
United Arab Emirates,20200218,4.76
United Arab Emirates,20200219,4.76
United Arab Emirates,20200220,4.76
United Arab Emirates,20200221,4.76
United Arab Emirates,20200222,4.76
United Arab Emirates,20200223,4.76
United Arab Emirates,20200224,14.29
United Arab Emirates,20200225,14.29
United Arab Emirates,20200226,14.29
United Arab Emirates,20200227,14.29
United Arab Emirates,20200228,14.29
United Arab Emirates,20200229,14.29
United Arab Emirates,20200301,28.57
United Arab Emirates,20200302,28.57
United Arab Emirates,20200303,28.57
United Arab Emirates,20200304,28.57
United Arab Emirates,20200305,28.57
United Arab Emirates,20200306,28.57
United Arab Emirates,20200307,28.57
United Arab Emirates,20200308,33.33
United Arab Emirates,20200309,33.33
United Arab Emirates,20200310,33.33
United Arab Emirates,20200311,33.33
United Arab Emirates,20200312,33.33
United Arab Emirates,20200313,40.48
United Arab Emirates,20200314,40.48
United Arab Emirates,20200315,42.86
United Arab Emirates,20200316,54.76
United Arab Emirates,20200317,54.76
United Arab Emirates,20200318,54.76
United Arab Emirates,20200319,54.76
United Arab Emirates,20200320,54.76
United Arab Emirates,20200321,54.76
United Arab Emirates,20200322,54.76
United Arab Emirates,20200323,71.43
United Arab Emirates,20200324,71.43
United Arab Emirates,20200325,76.19
United Arab Emirates,20200326,80.95
United Arab Emirates,20200327,80.95
United Arab Emirates,20200328,80.95
United Arab Emirates,20200329,85.71
United Arab Emirates,20200330,85.71
United Arab Emirates,20200331,85.71
United Arab Emirates,20200401,85.71
United Arab Emirates,20200402,85.71
United Arab Emirates,20200403,85.71
United Arab Emirates,20200404,95.24
United Arab Emirates,20200405,95.24
United Arab Emirates,20200406,95.24
United Arab Emirates,20200407,95.24
United Arab Emirates,20200408,95.24
United Arab Emirates,20200409,95.24
United Arab Emirates,20200410,95.24
United Arab Emirates,20200411,95.24
United Arab Emirates,20200412,95.24
United Arab Emirates,20200413,95.24
United Arab Emirates,20200414,95.24
United Arab Emirates,20200415,95.24
United Arab Emirates,20200416,
United Arab Emirates,20200417,
United Arab Emirates,20200418,95.24
United Arab Emirates,20200419,95.24
United Arab Emirates,20200420,95.24
United Arab Emirates,20200421,95.24
United Arab Emirates,20200422,95.24
United Arab Emirates,20200423,95.24
United Arab Emirates,20200424,95.24
Argentina,20200101,0.0
Argentina,20200102,0.0
Argentina,20200103,0.0
Argentina,20200104,0.0
Argentina,20200105,0.0
Argentina,20200106,0.0
Argentina,20200107,0.0
Argentina,20200108,0.0
Argentina,20200109,0.0
Argentina,20200110,0.0
Argentina,20200111,0.0
Argentina,20200112,0.0
Argentina,20200113,0.0
Argentina,20200114,0.0
Argentina,20200115,0.0
Argentina,20200116,0.0
Argentina,20200117,0.0
Argentina,20200118,0.0
Argentina,20200119,0.0
Argentina,20200120,0.0
Argentina,20200121,0.0
Argentina,20200122,0.0
Argentina,20200123,14.29
Argentina,20200124,14.29
Argentina,20200125,14.29
Argentina,20200126,14.29
Argentina,20200127,14.29
Argentina,20200128,14.29
Argentina,20200129,14.29
Argentina,20200130,14.29
Argentina,20200131,14.29
Argentina,20200201,14.29
Argentina,20200202,14.29
Argentina,20200203,14.29
Argentina,20200204,14.29
Argentina,20200205,14.29
Argentina,20200206,14.29
Argentina,20200207,14.29
Argentina,20200208,14.29
Argentina,20200209,14.29
Argentina,20200210,14.29
Argentina,20200211,14.29
Argentina,20200212,14.29
Argentina,20200213,14.29
Argentina,20200214,14.29
Argentina,20200215,14.29
Argentina,20200216,14.29
Argentina,20200217,14.29
Argentina,20200218,14.29
Argentina,20200219,14.29
Argentina,20200220,14.29
